Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Year,Month,Day,DayOfWeek,WeekOfYear,IsWeekend,Lag_1,Lag_7,Lag_14,Lag_30,Rolling_Mean_7,Rolling_Mean_30
2022-01-31,S001,P0001,Clothing,West,410,200,152,212.24,70.78,0,Sunny,1,68.88,Summer,2022,1,31,0,5,0,130.0,9.0,69.0,127.0,97.85714285714286,114.23333333333333
2022-02-01,S001,P0001,Groceries,East,419,279,84,297.26,34.49,0,Sunny,0,33.85,Summer,2022,2,1,1,5,0,200.0,189.0,123.0,81.0,125.14285714285714,116.66666666666667
2022-02-02,S001,P0001,Electronics,South,415,38,149,53.13,52.49,5,Cloudy,0,48.25,Autumn,2022,2,2,2,5,0,279.0,49.0,211.0,5.0,138.0,123.26666666666667
2022-02-03,S001,P0001,Clothing,South,345,71,186,84.02,27.71,20,Rainy,1,28.96,Winter,2022,2,3,3,5,0,38.0,164.0,79.0,58.0,136.42857142857142,124.36666666666666
2022-02-04,S001,P0001,Furniture,South,121,25,25,37.72,16.84,15,Cloudy,0,12.53,Autumn,2022,2,4,4,5,0,71.0,97.0,390.0,147.0,123.14285714285714,124.8
2022-02-05,S001,P0001,Groceries,South,458,350,182,362.43,51.44,15,Snowy,0,51.54,Summer,2022,2,5,5,5,1,25.0,47.0,191.0,37.0,112.85714285714286,120.73333333333333
2022-02-06,S001,P0001,Electronics,North,167,69,92,81.06,68.85,5,Cloudy,1,71.82,Spring,2022,2,6,6,5,1,350.0,130.0,79.0,107.0,156.14285714285714,131.16666666666666
2022-02-07,S001,P0001,Electronics,South,244,62,105,73.41,11.34,5,Rainy,0,9.63,Spring,2022,2,7,0,6,0,69.0,200.0,9.0,2.0,147.42857142857142,129.9
2022-02-08,S001,P0001,Toys,West,140,12,48,15.6,67.64,10,Cloudy,0,69.12,Spring,2022,2,8,1,6,0,62.0,279.0,189.0,350.0,127.71428571428571,131.9
2022-02-09,S001,P0001,Groceries,South,209,16,143,22.37,90.55,0,Rainy,0,90.2,Autumn,2022,2,9,2,6,0,12.0,38.0,49.0,36.0,89.57142857142857,120.63333333333334
2022-02-10,S001,P0001,Clothing,South,311,237,102,229.08,89.58,5,Rainy,0,91.4,Spring,2022,2,10,3,6,0,16.0,71.0,164.0,16.0,86.42857142857143,119.96666666666667
2022-02-11,S001,P0001,Electronics,East,216,203,34,198.49,19.93,0,Sunny,0,24.88,Autumn,2022,2,11,4,6,0,237.0,25.0,97.0,104.0,110.14285714285714,127.33333333333333
2022-02-12,S001,P0001,Toys,South,358,29,54,48.16,64.4,15,Sunny,1,61.19,Autumn,2022,2,12,5,6,1,203.0,350.0,47.0,80.0,135.57142857142858,130.63333333333333
2022-02-13,S001,P0001,Clothing,North,229,149,161,143.55,85.19,10,Rainy,0,85.28,Spring,2022,2,13,6,6,1,29.0,69.0,130.0,177.0,89.71428571428571,128.93333333333334
2022-02-14,S001,P0001,Clothing,North,429,259,156,256.33,97.41,10,Snowy,1,93.97,Winter,2022,2,14,0,7,0,149.0,62.0,200.0,176.0,101.14285714285714,128.0
2022-02-15,S001,P0001,Furniture,North,126,111,32,115.57,51.27,5,Snowy,0,53.8,Winter,2022,2,15,1,7,0,259.0,12.0,279.0,97.0,129.28571428571428,130.76666666666668
2022-02-16,S001,P0001,Electronics,West,373,373,91,372.09,65.22,10,Rainy,1,66.25,Autumn,2022,2,16,2,7,0,111.0,16.0,38.0,69.0,143.42857142857142,131.23333333333332
2022-02-17,S001,P0001,Furniture,West,82,31,146,27.62,49.34,5,Rainy,1,51.94,Spring,2022,2,17,3,7,0,373.0,237.0,71.0,123.0,194.42857142857142,141.36666666666667
2022-02-18,S001,P0001,Electronics,South,115,27,33,39.79,20.21,15,Rainy,0,18.45,Winter,2022,2,18,4,7,0,31.0,203.0,25.0,211.0,165.0,138.3
2022-02-19,S001,P0001,Furniture,North,207,27,200,32.44,75.6,0,Snowy,1,71.3,Summer,2022,2,19,5,7,1,27.0,29.0,350.0,79.0,139.85714285714286,132.16666666666666
2022-02-20,S001,P0001,Toys,South,284,166,189,175.44,73.76,10,Rainy,0,70.18,Autumn,2022,2,20,6,7,1,27.0,149.0,69.0,390.0,139.57142857142858,130.43333333333334
2022-02-21,S001,P0001,Clothing,East,337,337,136,346.41,96.55,10,Sunny,0,100.1,Winter,2022,2,21,0,8,0,166.0,259.0,62.0,191.0,142.0,122.96666666666667
2022-02-22,S001,P0001,Furniture,East,467,191,135,194.7,12.81,15,Sunny,1,12.47,Spring,2022,2,22,1,8,0,337.0,111.0,12.0,79.0,153.14285714285714,127.83333333333333
2022-02-23,S001,P0001,Groceries,West,152,129,88,134.64,27.67,15,Cloudy,0,31.03,Spring,2022,2,23,2,8,0,191.0,373.0,16.0,9.0,164.57142857142858,131.56666666666666
2022-02-24,S001,P0001,Toys,East,277,177,108,169.54,25.72,10,Snowy,1,29.31,Winter,2022,2,24,3,8,0,129.0,31.0,237.0,189.0,129.71428571428572,135.56666666666666
2022-02-25,S001,P0001,Clothing,North,399,214,188,220.68,10.85,20,Cloudy,1,14.28,Summer,2022,2,25,4,8,0,177.0,27.0,203.0,49.0,150.57142857142858,135.16666666666666
2022-02-26,S001,P0001,Groceries,North,167,106,55,113.33,52.53,10,Snowy,0,54.21,Spring,2022,2,26,5,8,1,214.0,27.0,29.0,164.0,177.28571428571428,140.66666666666666
2022-02-27,S001,P0001,Clothing,North,129,68,165,81.82,34.84,10,Rainy,1,38.22,Autumn,2022,2,27,6,8,1,106.0,166.0,149.0,97.0,188.57142857142858,138.73333333333332
2022-02-28,S001,P0001,Furniture,South,361,344,103,338.3,89.39,10,Snowy,1,86.89,Summer,2022,2,28,0,9,0,68.0,337.0,259.0,47.0,174.57142857142858,137.76666666666668
2022-03-01,S001,P0001,Toys,North,263,28,113,33.68,15.95,5,Snowy,0,13.91,Winter,2022,3,1,1,9,0,344.0,191.0,111.0,130.0,175.57142857142858,147.66666666666666
2022-03-02,S001,P0001,Groceries,South,216,93,120,105.56,58.52,15,Snowy,1,58.92,Winter,2022,3,2,2,9,0,28.0,129.0,373.0,200.0,152.28571428571428,144.26666666666668
2022-03-03,S001,P0001,Toys,South,304,36,44,31.54,14.01,0,Snowy,1,12.87,Autumn,2022,3,3,3,9,0,93.0,177.0,31.0,279.0,147.14285714285714,140.7
2022-03-04,S001,P0001,Toys,South,338,284,43,274.86,33.06,15,Snowy,0,34.47,Autumn,2022,3,4,4,9,0,36.0,214.0,27.0,38.0,127.0,132.6
2022-03-05,S001,P0001,Furniture,East,496,282,167,274.26,27.67,10,Sunny,0,28.65,Spring,2022,3,5,5,9,1,284.0,106.0,27.0,71.0,137.0,140.8
2022-03-06,S001,P0001,Electronics,South,463,192,54,203.71,62.37,10,Cloudy,1,64.64,Winter,2022,3,6,6,9,1,282.0,68.0,166.0,25.0,162.14285714285714,147.83333333333334
2022-03-07,S001,P0001,Toys,North,380,348,80,360.31,98.99,5,Rainy,0,97.93,Autumn,2022,3,7,0,10,0,192.0,344.0,337.0,350.0,179.85714285714286,153.4
2022-03-08,S001,P0001,Clothing,West,394,32,88,36.33,95.9,20,Sunny,1,98.49,Winter,2022,3,8,1,10,0,348.0,28.0,191.0,69.0,180.42857142857142,153.33333333333334
2022-03-09,S001,P0001,Clothing,South,339,26,165,29.44,24.92,15,Sunny,0,24.38,Autumn,2022,3,9,2,10,0,32.0,93.0,129.0,62.0,181.0,152.1
2022-03-10,S001,P0001,Clothing,East,285,147,184,161.02,24.69,10,Snowy,1,20.0,Spring,2022,3,10,3,10,0,26.0,36.0,177.0,12.0,171.42857142857142,150.9
2022-03-11,S001,P0001,Groceries,North,348,141,188,155.99,46.7,10,Snowy,1,50.28,Summer,2022,3,11,4,10,0,147.0,284.0,214.0,16.0,187.28571428571428,155.4
2022-03-12,S001,P0001,Electronics,East,210,194,144,196.14,91.91,5,Rainy,1,90.84,Autumn,2022,3,12,5,10,1,141.0,282.0,106.0,237.0,166.85714285714286,159.56666666666666
2022-03-13,S001,P0001,Clothing,North,327,95,141,101.11,87.0,15,Sunny,0,91.43,Summer,2022,3,13,6,10,1,194.0,192.0,68.0,203.0,154.28571428571428,158.13333333333333
2022-03-14,S001,P0001,Electronics,West,84,74,168,80.12,59.11,10,Snowy,0,58.7,Summer,2022,3,14,0,11,0,95.0,348.0,344.0,29.0,140.42857142857142,154.53333333333333
2022-03-15,S001,P0001,Furniture,West,172,78,187,78.64,69.17,20,Cloudy,0,70.1,Winter,2022,3,15,1,11,0,74.0,32.0,28.0,149.0,101.28571428571429,156.03333333333333
2022-03-16,S001,P0001,Groceries,South,252,230,126,243.54,37.52,5,Cloudy,0,36.49,Autumn,2022,3,16,2,11,0,78.0,26.0,93.0,259.0,107.85714285714286,153.66666666666666
2022-03-17,S001,P0001,Groceries,South,124,89,86,102.55,30.81,15,Sunny,1,30.91,Spring,2022,3,17,3,11,0,230.0,147.0,36.0,111.0,137.0,152.7
2022-03-18,S001,P0001,Electronics,North,282,150,41,142.21,47.2,15,Snowy,0,43.88,Autumn,2022,3,18,4,11,0,89.0,141.0,284.0,373.0,128.71428571428572,151.96666666666667
2022-03-19,S001,P0001,Clothing,South,388,285,28,285.57,17.8,20,Rainy,0,20.76,Summer,2022,3,19,5,11,1,150.0,194.0,282.0,31.0,130.0,144.53333333333333
2022-03-20,S001,P0001,Electronics,East,83,40,68,47.68,33.07,15,Snowy,1,29.26,Summer,2022,3,20,6,11,1,285.0,95.0,192.0,27.0,143.0,153.0
2022-03-21,S001,P0001,Groceries,North,100,58,160,73.92,75.75,15,Sunny,1,77.25,Summer,2022,3,21,0,12,0,40.0,74.0,348.0,27.0,135.14285714285714,153.43333333333334
2022-03-22,S001,P0001,Electronics,North,163,114,83,121.45,69.56,5,Snowy,1,67.3,Autumn,2022,3,22,1,12,0,58.0,78.0,32.0,166.0,132.85714285714286,154.46666666666667
2022-03-23,S001,P0001,Electronics,South,82,21,124,15.89,86.7,0,Sunny,1,87.39,Winter,2022,3,23,2,12,0,114.0,230.0,26.0,337.0,138.0,152.73333333333332
2022-03-24,S001,P0001,Clothing,North,279,35,84,42.16,12.46,5,Cloudy,0,15.25,Summer,2022,3,24,3,12,0,21.0,89.0,147.0,191.0,108.14285714285714,142.2
2022-03-25,S001,P0001,Electronics,South,441,31,137,41.5,45.18,0,Rainy,0,40.48,Autumn,2022,3,25,4,12,0,35.0,150.0,141.0,129.0,100.42857142857143,137.0
2022-03-26,S001,P0001,Groceries,South,81,4,128,22.91,81.93,20,Snowy,1,84.51,Summer,2022,3,26,5,12,1,31.0,285.0,194.0,177.0,83.42857142857143,133.73333333333332
2022-03-27,S001,P0001,Toys,South,324,289,95,279.09,78.21,10,Snowy,0,81.17,Autumn,2022,3,27,6,12,1,4.0,40.0,95.0,214.0,43.285714285714285,127.96666666666667
2022-03-28,S001,P0001,Groceries,West,393,49,57,61.96,68.54,0,Rainy,0,65.85,Summer,2022,3,28,0,13,0,289.0,58.0,74.0,106.0,78.85714285714286,130.46666666666667
2022-03-29,S001,P0001,Electronics,West,110,3,65,-1.27,65.91,5,Rainy,0,63.5,Winter,2022,3,29,1,13,0,49.0,114.0,78.0,68.0,77.57142857142857,128.56666666666666
2022-03-30,S001,P0001,Groceries,South,339,136,191,154.62,32.07,0,Snowy,0,35.44,Autumn,2022,3,30,2,13,0,3.0,21.0,230.0,344.0,61.714285714285715,126.4
2022-03-31,S001,P0001,Clothing,South,358,85,151,91.85,63.02,0,Sunny,0,61.79,Autumn,2022,3,31,3,13,0,136.0,35.0,89.0,28.0,78.14285714285714,119.46666666666667
2022-04-01,S001,P0001,Furniture,West,215,101,65,102.74,44.62,0,Cloudy,1,43.36,Summer,2022,4,1,4,13,0,85.0,31.0,150.0,93.0,85.28571428571429,121.36666666666666
2022-04-02,S001,P0001,Furniture,East,200,70,54,74.21,81.11,15,Sunny,1,85.3,Winter,2022,4,2,5,13,1,101.0,4.0,285.0,36.0,95.28571428571429,121.63333333333334
2022-04-03,S001,P0001,Toys,South,208,32,142,42.34,51.04,15,Snowy,0,51.16,Summer,2022,4,3,6,13,1,70.0,289.0,40.0,284.0,104.71428571428571,122.76666666666667
2022-04-04,S001,P0001,Furniture,North,70,54,197,60.25,70.04,10,Sunny,1,74.56,Summer,2022,4,4,0,14,0,32.0,49.0,58.0,282.0,68.0,114.36666666666666
2022-04-05,S001,P0001,Groceries,East,309,165,105,176.64,90.24,10,Snowy,0,94.06,Winter,2022,4,5,1,14,0,54.0,3.0,114.0,192.0,68.71428571428571,106.76666666666667
2022-04-06,S001,P0001,Groceries,West,322,158,29,174.98,23.65,10,Rainy,0,20.38,Spring,2022,4,6,2,14,0,165.0,136.0,21.0,348.0,91.85714285714286,105.86666666666666
2022-04-07,S001,P0001,Furniture,South,84,26,134,30.94,67.82,0,Snowy,1,62.89,Winter,2022,4,7,3,14,0,158.0,85.0,35.0,32.0,95.0,99.53333333333333
2022-04-08,S001,P0001,Furniture,East,322,130,173,148.95,27.4,15,Rainy,0,24.46,Spring,2022,4,8,4,14,0,26.0,101.0,31.0,26.0,86.57142857142857,99.33333333333333
2022-04-09,S001,P0001,Groceries,North,435,121,60,113.81,69.13,15,Cloudy,1,65.28,Spring,2022,4,9,5,14,1,130.0,70.0,4.0,147.0,90.71428571428571,102.8
2022-04-10,S001,P0001,Groceries,East,292,282,200,301.68,96.48,5,Sunny,0,92.65,Summer,2022,4,10,6,14,1,121.0,32.0,289.0,141.0,98.0,101.93333333333334
2022-04-11,S001,P0001,Groceries,South,376,358,192,367.23,46.43,0,Rainy,1,50.45,Spring,2022,4,11,0,15,0,282.0,54.0,49.0,194.0,133.71428571428572,106.63333333333334
2022-04-12,S001,P0001,Clothing,West,381,238,139,237.67,74.25,15,Rainy,0,78.42,Summer,2022,4,12,1,15,0,358.0,165.0,3.0,95.0,177.14285714285714,112.1
2022-04-13,S001,P0001,Electronics,East,433,279,79,293.17,78.35,10,Snowy,1,76.87,Autumn,2022,4,13,2,15,0,238.0,158.0,136.0,74.0,187.57142857142858,116.86666666666666
2022-04-14,S001,P0001,Electronics,South,241,108,126,110.02,83.64,20,Sunny,0,79.51,Spring,2022,4,14,3,15,0,279.0,26.0,85.0,78.0,204.85714285714286,123.7
2022-04-15,S001,P0001,Toys,West,136,32,165,24.81,95.63,10,Sunny,1,90.95,Winter,2022,4,15,4,15,0,108.0,130.0,101.0,230.0,216.57142857142858,124.7
2022-04-16,S001,P0001,Groceries,East,445,183,43,176.76,74.81,10,Cloudy,0,78.85,Spring,2022,4,16,5,15,1,32.0,121.0,70.0,89.0,202.57142857142858,118.1
2022-04-17,S001,P0001,Toys,West,396,365,109,363.52,68.35,5,Cloudy,0,71.54,Summer,2022,4,17,6,15,1,183.0,282.0,32.0,150.0,211.42857142857142,121.23333333333333
2022-04-18,S001,P0001,Groceries,South,319,47,185,37.98,53.83,20,Rainy,0,50.51,Winter,2022,4,18,0,16,0,365.0,358.0,54.0,285.0,223.28571428571428,128.4
2022-04-19,S001,P0001,Electronics,North,60,41,195,38.56,66.6,15,Rainy,1,62.37,Winter,2022,4,19,1,16,0,47.0,238.0,165.0,40.0,178.85714285714286,120.46666666666667
2022-04-20,S001,P0001,Furniture,North,164,51,131,46.97,14.9,20,Cloudy,1,13.27,Summer,2022,4,20,2,16,0,41.0,279.0,158.0,58.0,150.71428571428572,120.5
2022-04-21,S001,P0001,Furniture,North,320,107,27,109.15,84.81,0,Rainy,1,87.15,Winter,2022,4,21,3,16,0,51.0,108.0,26.0,114.0,118.14285714285714,120.26666666666667
2022-04-22,S001,P0001,Groceries,West,407,405,68,410.98,93.83,15,Snowy,0,97.11,Autumn,2022,4,22,4,16,0,107.0,32.0,130.0,21.0,118.0,120.03333333333333
2022-04-23,S001,P0001,Electronics,East,291,212,97,208.81,36.5,15,Sunny,1,41.26,Spring,2022,4,23,5,16,1,405.0,183.0,121.0,35.0,171.28571428571428,132.83333333333334
2022-04-24,S001,P0001,Toys,South,81,14,59,33.2,20.46,15,Snowy,1,23.22,Winter,2022,4,24,6,16,1,212.0,365.0,282.0,31.0,175.42857142857142,138.73333333333332
2022-04-25,S001,P0001,Clothing,West,52,45,32,48.53,71.32,5,Cloudy,1,73.35,Spring,2022,4,25,0,17,0,14.0,47.0,358.0,4.0,125.28571428571429,138.16666666666666
2022-04-26,S001,P0001,Groceries,South,489,452,98,442.38,29.14,10,Cloudy,0,29.25,Winter,2022,4,26,1,17,0,45.0,41.0,238.0,289.0,125.0,139.53333333333333
2022-04-27,S001,P0001,Electronics,South,422,288,52,298.22,43.71,15,Cloudy,0,44.73,Summer,2022,4,27,2,17,0,452.0,51.0,279.0,49.0,183.71428571428572,144.96666666666667
2022-04-28,S001,P0001,Groceries,South,348,334,167,329.4,47.06,10,Rainy,1,49.09,Autumn,2022,4,28,3,17,0,288.0,107.0,108.0,3.0,217.57142857142858,152.93333333333334
2022-04-29,S001,P0001,Groceries,South,319,27,121,31.1,34.81,0,Rainy,1,38.71,Winter,2022,4,29,4,17,0,334.0,405.0,32.0,136.0,250.0,163.96666666666667
2022-04-30,S001,P0001,Toys,South,162,149,71,143.4,20.41,20,Cloudy,0,23.49,Summer,2022,4,30,5,17,1,27.0,212.0,183.0,85.0,196.0,160.33333333333334
2022-05-01,S001,P0001,Electronics,East,125,0,117,-8.04,36.91,10,Cloudy,0,37.85,Spring,2022,5,1,6,17,1,149.0,14.0,365.0,101.0,187.0,162.46666666666667
2022-05-02,S001,P0001,Toys,East,193,1,71,-1.99,37.57,0,Rainy,1,37.35,Autumn,2022,5,2,0,18,0,0.0,45.0,47.0,70.0,185.0,159.1
2022-05-03,S001,P0001,Toys,East,231,18,92,32.61,47.42,20,Sunny,1,50.88,Winter,2022,5,3,1,18,0,1.0,452.0,41.0,32.0,178.71428571428572,156.8
2022-05-04,S001,P0001,Furniture,West,383,127,131,126.03,30.44,20,Cloudy,0,25.63,Spring,2022,5,4,2,18,0,18.0,288.0,51.0,54.0,116.71428571428571,156.33333333333334
2022-05-05,S001,P0001,Toys,South,252,49,172,45.42,21.29,20,Rainy,0,23.42,Autumn,2022,5,5,3,18,0,127.0,334.0,107.0,165.0,93.71428571428571,158.76666666666668
2022-05-06,S001,P0001,Groceries,South,253,26,79,40.4,87.62,10,Rainy,1,89.03,Spring,2022,5,6,4,18,0,49.0,27.0,405.0,158.0,53.0,154.9
2022-05-07,S001,P0001,Furniture,East,334,39,150,44.63,65.44,20,Sunny,1,69.95,Winter,2022,5,7,5,18,1,26.0,149.0,212.0,26.0,52.857142857142854,150.5
2022-05-08,S001,P0001,Clothing,South,103,6,120,13.1,30.86,5,Snowy,0,35.02,Spring,2022,5,8,6,18,1,39.0,0.0,14.0,130.0,37.142857142857146,150.93333333333334
2022-05-09,S001,P0001,Toys,West,195,173,94,184.02,55.13,15,Sunny,0,52.38,Winter,2022,5,9,0,19,0,6.0,1.0,45.0,121.0,38.0,146.8
2022-05-10,S001,P0001,Toys,North,118,19,138,25.79,60.66,15,Snowy,0,55.68,Autumn,2022,5,10,1,19,0,173.0,18.0,452.0,282.0,62.57142857142857,148.53333333333333
