Store ID,Product ID,Average_Daily_Demand,Demand_Std,Safety_Stock,Reorder_Point,Inventory Level,Recommended_Order,Status
S001,P0001,137.31,108.19,472.29,1433.44,223,1210.0,REORDER
S001,P0002,131.04,104.31,455.38,1372.65,217,1156.0,REORDER
S001,P0003,141.44,107.21,468.03,1458.11,69,1389.0,REORDER
S001,P0004,140.9,113.64,496.11,1482.44,338,1144.0,REORDER
S001,P0005,133.13,107.37,468.72,1400.63,471,930.0,REORDER
S001,P0006,130.67,109.02,475.9,1390.62,305,1086.0,REORDER
S001,P0007,137.82,111.2,485.44,1450.2,256,1194.0,REORDER
S001,P0008,137.13,108.7,474.52,1434.45,315,1119.0,REORDER
S001,P0009,131.44,107.09,467.49,1387.54,167,1221.0,REORDER
S001,P0010,132.36,105.92,462.38,1388.9,167,1222.0,REORDER
S001,P0011,132.49,109.9,479.78,1407.23,449,958.0,REORDER
S001,P0012,128.39,102.24,446.33,1345.07,213,1132.0,REORDER
S001,P0013,132.87,109.16,476.54,1406.66,356,1051.0,REORDER
S001,P0014,136.62,110.67,483.12,1439.46,293,1146.0,REORDER
S001,P0015,137.89,112.8,492.44,1457.65,356,1102.0,REORDER
S001,P0016,132.93,107.54,469.46,1399.99,74,1326.0,REORDER
S001,P0017,136.45,108.97,475.69,1430.83,282,1149.0,REORDER
S001,P0018,138.82,109.1,476.26,1447.98,191,1257.0,REORDER
S001,P0019,134.73,109.55,478.22,1421.34,149,1272.0,REORDER
S001,P0020,138.36,111.25,485.64,1454.19,242,1212.0,REORDER
S002,P0001,145.01,113.57,495.81,1510.85,415,1096.0,REORDER
S002,P0002,128.79,106.05,462.96,1364.47,364,1000.0,REORDER
S002,P0003,133.01,111.34,486.05,1417.08,372,1045.0,REORDER
S002,P0004,138.43,108.65,474.3,1443.28,133,1310.0,REORDER
S002,P0005,132.57,104.44,455.92,1383.92,464,920.0,REORDER
S002,P0006,133.27,105.04,458.57,1391.44,160,1231.0,REORDER
S002,P0007,137.62,112.77,492.3,1455.65,53,1403.0,REORDER
S002,P0008,128.9,106.85,466.45,1368.74,218,1151.0,REORDER
S002,P0009,144.15,112.42,490.78,1499.85,62,1438.0,REORDER
